Month,product code,Incentive
Feb-25,521,5
Feb-25,522,6
Feb-25,524,7
Feb-25,533,8
Feb-25,527,9
Feb-25,528,10
Feb-25,540,11
Feb-25,536,12
Feb-25,537,13
Feb-25,541,14
Feb-25,17,15
Feb-25,18,16
Feb-25,20,17
Feb-25,25,18
Feb-25,40,19
Feb-25,47,20
Feb-25,46,21
Feb-25,16948,22
Jan-25,52,23
Jan-25,69,24
Jan-25,58,25
Jan-25,70,26
Jan-25,61,27
Jan-25,62,28
Jan-25,67,29
Jan-25,68,30
Jan-25,78,31
Jan-25,82,32
Jan-25,16944,33
Jan-25,75,34
Jan-25,76,35
Jan-25,79,36
Jan-25,86,37
Jan-25,80,38
Jan-25,85,39
Jan-25,81,40
Jan-25,87,41
May-24,11373,30
Jun-24,11373,40
Feb-25,11373,22
Feb-25,11371,23
Feb-25,11372,24
Feb-25,11437,25
Feb-25,11438,20
Feb-25,11501,54
Dec-25,1,123
Oct-24,11400,20
Jul-24,11376,50
Jan-24,11373,60
